Symbol,Description
DXC,Dyn Ishares Active CDN Div ETF
DXDB,Dynamic Active Discount Bond ETF
DXEM,Dynamic Active Emerging Markets ETF
DXET,Dynamic Active Energy Evolution ETF
DXF,Dynamic Ishares Act Global Fin Ser ETF
DXG,Dyn Ishares Active Global Div ETF
DXGE,Dynamic Actv Glbl Eqty Income ETF
DXIF,Dynamic Active International ETF
DXN,Dynamic Active Global Infrastructure ETF
DXO,Dyn Ishares Act Crossover Bond ETF
DXP,Dyn Ishares Active Pref Shares ETF
DXQ,Dynamic Active Enh Yld Cov Opt ETF
DXR,Dynamic Active Retirement Income+ ETF
DXT,Dexterra Group Inc
DXU,Dyn Ishares Active US Div ETF
DXUS,Dynamic Actv US Eqty ETF
DXV,Dyn Ishares Act Inv Grd Flot Rt ETF
DXW,Dynamic Active Intl Dividend ETF
DXZ,Dynamic Ishares Acitve US Mid Cap ETF
DYA,Dynacert Inc
E,Enterprise Group Inc
EAGR,East Side Games Group
EARN,Evolve Active Global Fixed Income ETF
EBIT,Bitcoin ETF
EBIT.U,Bitcoin ETF USD
EBNK,Evolve European Banks Enhanced Yield ETF
EBNK.B,Evolve European Banks Enhanced Yield ETF
EBNK.U,Evolve European Banks Enhanced Yield ETF
ECN,Ecn Capital Corp
ECN.DB,Ecn Capital Corp 6.0 Pct Debs
ECN.DB.A,Ecn Capital Corp 6 Pct  Debs A
ECN.DB.B,Ecn Capital Corp 6.25 Pct Debs
ECN.PR.C,Ecn Capital Corp Pref Ser C
ECO,Ecosynthetix Inc
ECOR,Anglo Pacific Group Plc
EDGE,Evolve Innovation Index ETF
EDGE.U,Evolve Innovation Index Fund Uhg ETF USD
EDGF,Brompton European Div Growth ETF
EDR,Endeavour Silver Corp
EDT,Spectral Medical Inc
EDV,Endeavour Mining Corp
EFN,Element Fleet Management Corp
EFN.DB.B,Element Fleet Management 4.25 Pct Debs
EFN.PR.A,Element Fleet Mgmt Corp Pref Ser A
EFN.PR.C,Element Fleet Mgmt Corp Pref Ser C
EFN.PR.E,Element Fleet Mgmt Corp Pref Ser E
EFR,Energy Fuels Inc
EFX,Enerflex Ltd
EGIF,Exemplar Growth and Income Fund ETF
EGLX,Enthusiast Gaming Holdings Inc
EHE,CI Wisdomtree Europe Hedged Equity Index ETF
EHE.B,CI Wisdomtree Europe Hdg Eqty Idx ETF NH
EIF,Exchange Income Corp
EIF.DB.J,Exchange Income Corp 5.35 Pct Debs
EIF.DB.K,Exchange Income Corp 5.75 Pct Debs
EIF.DB.L,Exchange Income Corp 5.25 Pct Debs
EIF.DB.M,Exchange Income Corp 5.25 Pct Debs
EIT.PR.A,Canoe Eit Income Fund Pref Ser 1
EIT.PR.B,Canoe Eit Income Fund Pref Ser 2
EIT.UN,Canoe Eit Income Fund Units
ELD,Eldorado Gold
ELEF,Silver Elephant Mining Corp
ELF,E-L Financial
ELF.PR.F,E-L Financial Corp Ltd Pr Ser. 1
ELF.PR.G,E- L Financial Corp Ltd
ELF.PR.H,E - L Financial Corp Ltd Pref Ser 3
ELO,Eloro Resources Ltd
ELR,Eastern Platinum Ltd
ELVA,Electrovaya Inc
EMA,Emera Incorporated
EMA.PR.A,Emera Inc Series A Pref
EMA.PR.B,Emera Inc Pref Sh Series B
EMA.PR.C,Emera Inc Pref Sh Series C
EMA.PR.E,Emera Inc Pref Ser E
EMA.PR.F,Emera Inc Series F Pref
EMA.PR.H,Emera Inc Pref Series H
EMA.PR.J,Emera Inc
EMA.PR.L,Emera Inc.
EMP.A,Empire Company Ltd
EMV.B,CI Wisdomtree Emerging Mkts Div Idx ETF
ENB,Enbridge Inc
ENB.PF.A,Enbridge Inc Pref Ser 9
ENB.PF.C,Enbridge Inc Pref Ser 11
ENB.PF.E,Enbridge Inc Pref Ser 13
ENB.PF.G,Enbridge Inc Pref Ser 15
ENB.PF.K,Enbridge Inc Pref Series 19
ENB.PF.U,Enbridge Inc Pref Ser L
ENB.PF.V,Enbridge Inc Pref Ser 5 USD
ENB.PR.A,Enbridge Pr
ENB.PR.B,Enbridge Inc Cum Redeem Pref Ser B
ENB.PR.D,Enbridge Inc Pref Ser D
ENB.PR.F,Enbridge Inc Pref Ser F
ENB.PR.G,Enbridge Inc Pref Series G
ENB.PR.H,Enbridge Inc Pref Ser H
ENB.PR.I,Enbridge Inc Preference Shares Series I
ENB.PR.J,Enbridge Inc Pref Ser 7
ENB.PR.N,Enbridge Inc Pref Ser N
ENB.PR.P,Enbridge Inc Pref Ser P
ENB.PR.T,Enbridge Inc Pref Ser R
ENB.PR.V,Enbridge Inc Pref Ser 1
ENB.PR.Y,Enbridge Inc Cum Red Pref Ser 3
ENCC,Horizons CDN Oil Gas Eqty Cvrd Call ETF
ENCL,Horizons Enh CDN Oil Gas Eqty Cvcl ETF
ENGH,Enghouse Systems Ltd
ENI.UN,Energy Income Fund
ENS,E Split Corp
ENS.PR.A,E Split Corp Pref Shares
EOX,Euromax Resources Ltd
EPRX,Eupraxia Pharmaceuticals Inc
EPRX.WT.A,Eupraxia Pharmaceuticals Inc. WT
EQB,EQB Inc
EQB.PR.C,Equitable Group Inc Pref Ser 3
EQCL,Horizons Enhanced All-Equity Asset Allocation CO
EQL,Invesco S&P 500 Eql Weight Idx ETF
EQL.F,Invesco S&P 500 Eql Weight Idx ETF Hgd
EQL.U,Invesco S&P 500 Eql Weight Idx ETF USD
EQX,Equinox Gold Corp
ERD,Erdene Resource Development Corp
ERE.UN,European Residential Real Estate Invs. Trust
ERF,Enerplus Corp
ERO,Ero Copper Corp
ESG,Invesco S&P 500 ESG Index ETF
ESG.F,Invesco S&P 500 ESG Index ETF Hedged
ESGA,BMO MSCI Canada ESG Leaders Index ETF
ESGB,BMO ESG Corporate Bond Index ETF
ESGC,Invesco SP TSX Composite ESG Index ETF
ESGE,BMO MSCI EAFE ESG Leaders Index ETF
ESGF,BMO ESG US Corp Bnd Hdgd To CAD Idx ETF
ESGG,BMO MSCI Global ESG Leaders Index ETF
ESGH,BMO ESG High Yld US Corp Bond Index ETF
ESGH.F,BMO ESG Hgh Yld US Corp Bond Idx ETF Hgd
ESGY,BMO MSCI USA ESG Leaders Index ETF
ESGY.F,BMO MSCI USA ESG Leaders Index ETF
ESI,Ensign Energy Services Inc
ESM,Euro Sun Mining Inc
ESN,Essential Energy Services Ltd
ESPX,Evolve SP 500 Enhanced Yield Fund
ESPX.B,Evolve SP 500 Enhanced Yield Fund Uh
ESPX.U,Evolve SP 500 Enhanced Yield Fund USD
ET,Evertz Technologies Ltd
ETC,Evolve Cryptocurrencies ETF
ETC.U,Evolve Cryptocurrencies ETF USD
ETG,Entree Resources Ltd
ETHH,Purpose Ether CAD ETF
ETHH.B,Purpose Ether Non-Cur Hedg ETF
ETHH.U,Purpose Ether ETF USD
ETHI,Horizons Global Sustain Leaders Idx ETF
ETHQ,3iQ Coinshares Ether ETF
ETHQ.U,3iQ Coinshares Ether ETF USD
ETHR,Ether Unhedg ETF
ETHR.U,Ether ETF USD
ETHX.B,CI Galaxy Ethereum ETF
ETHX.U,CI Galaxy Ethereum ETF USD
ETHY,Purpose Ether Yield ETF
ETHY.B,Purpose Ether Yield ETF
ETHY.U,Purpose Ether Yield ETF USD
ETP,First Trust Global Risk Managed Inc ETF
ETSX,Evolve SP Tsx60 Enhanced Yield Fund
EVT,Economic Investment
EXE,Extendicare Inc
EXE.DB.C,Extendicare Inc 5 Pct Debs
EXN,Excellon Resources Inc
EXRO,Exro Technologies Inc
EXRO.WT,Exro Technologies Inc
FANS,Fansunite Entertainment Inc
FAP,Aberdeen Asia-Pacific Income Invest Ltd
FAR,Foraco International Sa
FBGO,Franklin Brandywine Glbl Sust Act ETF
FBT,First Trust NYSE Arca Biotechnology ETF
FBTC,Fidelity Advantage Bitcoin ETF
FBTC.U,Fidelity Advantage Bitcoin ETF USD
FC,Firm Capital Mortgage Inv. Corp
FC.DB.G,Firm Capital Mortgage Inv 5.20 Pct Debs
FC.DB.H,Firm Capital Mortgage 5.30 Pct Debs
FC.DB.I,Firm Capital Mtg Inv Corp 5.40 Pct Debs
FC.DB.J,Firm Capital Mtg Inv Corp 5.5 Pct Debs
FC.DB.K,Firm Capital Mrtg Invest Corp 5 Pct Debs
FC.DB.L,Firm Capital Mrtg Invest Corp 5 Pct Debs
FCCB,Fidelity Systematic CDN Bond Index ETF
FCCD,Fidelity CDN High Div Index ETF
FCCL,Fidelity Canadian Low Vol Index ETF
FCCM,Fidelity Canadian Momentum Index ETF
FCCQ,Fidelity Canadian High Quality Index ETF
FCCV,Fidelity Canadian Value Index ETF
FCD.UN,Firm Capital Property Trust
FCGB,Fidelity Global Core Plus Bond ETF
FCGB.U,Fidelity Global Core Plus Bond ETF USD
FCGI,Fidelity Global Monthly High Income ETF
FCID,Fidelity Intl High Dividend Index ETF
FCIG,Fidelity Global Investment Grade Bnd ETF
FCIG.U,Fidelity Global Investmnt Gr Bnd ETF USD
FCII,Franklin Clearbridge Sust Glbl Act ETF
FCIL,Fidelity Intl Low Vol Index ETF
FCIM,Fidelity International Momentum Idx ETF
FCIQ,Fidelity Intl High Quality Index ETF
FCIQ.U,Fidelity Intl High Quality Index ETF USD
FCIV,Fidelity International Value Index ETF
FCLH,Fidelity US Low Vol Cur Ntrl Index ETF
FCMH,Fidelity US Momentum Cur Neut Index ETF
FCMI,Fidelity CDN Monthly High Income ETF
FCMO,Fidelity US Momentum Index ETF
FCMO.U,Fidelity U.S. Momentum Index ETF
FCQH,Fidelity US High Qlty Cur Ntrl Index ETF
FCR.UN,First Capital REIT Units
FCRH,Fidelity US Div Rising Rates Cur Neu Idx
FCRR,Fidelity US Div For Rising Rates Idx ETF
FCSB,Fidelity Canadian Short Term Corp Bd ETF
FCSI,Franklin Clearbridge Sust Intl Act ETF
FCU,Fission Uranium Corp
FCUD,Fidelity US High Div Index ETF
FCUD.U,Fidelity US High Div Index ETF USD
FCUH,Fidelity US High Div Cur Neu Idx ETF
FCUL,Fidelity US Low Vol Index ETF
FCUL.U,Fidelity US Low Vol Index ETF USD
FCUQ,Fidelity US High Quality Index ETF
FCUQ.U,Fidelity US High Quality Index ETF USD
FCUV,Fidelity US Value Index ETF
FCUV.U,Fidelity US Value Index ETF USD
FCVH,Fidelity US Value Currency Neut Idx ETF
FDGE,Farmers Edge Inc
FDL,First Trust Morningstar Div Ldrs ETF Hgd
FDN,First Trust Dow Jones Internet ETF
FDY,Faraday Copper Corp
FEBB.F,First Trust CBOE Vest US Eqty ETF Feb
FEC,Frontera Energy Corp
FEME,Forstrong Emerging Markets Equity ETF
FETH,Fidelity Advantage Ether ETF
FETH.U,Fidelity Advantage Ether ETF
FF,First Mining Gold Corp
FFH,Fairfax Financial Holdings Ltd
FFH.PR.C,Fairfax Fncl Holdings Ltd Pref Ser C
FFH.PR.D,Fairfax Fncl Holdings Ltd Pref Ser D
FFH.PR.E,Fairfax Financial Hldngs Pref Ser E
FFH.PR.F,Fairfax Financial Holdings Pref Ser F
FFH.PR.G,Fairfax Financial Hldngs Pref Ser G
FFH.PR.H,Fairfax Fncl Holdings Ltd Pref Ser H
FFH.PR.I,Fairfax Financial Holdings Series I Pref
FFH.PR.J,Fairfax Fncl Holdings Ltd Pref Ser J
FFH.PR.K,Fairfax Financial Holdings Pref Ser K
FFH.PR.M,Fairfax Financial Holdings Pref Ser M
FFH.U,Fairfax Financial Holdings Ltd USD
FFN,North American Financial 15 Split Corp
FFN.PR.A,North American Fin 15 Split Corp Pref
FGAA.U,Fg Acquisition Corp
FGB,CI Short Term Govt Bond Class ETF
FGGE,Franklin Global Growth Active ETF
FGO,CI Enhanced Govt Bond ETF
FGO.U,CI Enhanced Govt Bond ETF USD
FGRW,Forstrong Global Growth ETF
FHG,First Trust US Industrials ETF
FHH,First Trust US Health Care ETF
FHH.F,First Trust Ad US Health Care ETF
FHI,CI Hlth Care Giant Cov Call ETF
FHI.B,CI Hlth Care Giants Cov Call ETF
FHIS,Franklin Bissett Ultra Shrt Bnd Actv ETF
FHQ,First Trust US Technology ETF
FHQ.F,First Trust Ad US Technology ETF
FIE,Ishares CDN Fin Mthly Income ETF
FIG,CI Investment Grade Bond ETF
FIG.U,CI Investment Grade Bond ETF USD
FIH.U,Fairfax India Holdings Corp USD
FIL,Filo Mining Corp
FINC,Forstrong Global Income ETF
FINE,Forstrong Glbl Ex North America Eqty ETF
FINO,Franklin Innovation Active ETF
FINT,First Trust Intl Capital Strength ETF
FLBA,Franklin Liberty Core Balanced ETF
FLCI,Franklin Liberty CDN Invest Grd Corp ETF
FLCP,Franklin Liberty Core Plus Bond ETF
FLDM,Franklin Libertyqt Intl Eqt Index ETF
FLGA,Franklin Liberty Global Agg Bond ETF
FLGD,Franklin Libertyqt Glb Dividend Idx ETF
FLI,CI US Cda Lifeco Covered Call ETF
FLNT,Flint Corp
FLOW,Flow Beverage Corp
FLRM,Franklin Liberty Risk Mngd CDN Eqt ETF
FLSD,Franklin Liberty Short Duration Bond ETF
FLUS,Franklin Libertyqt US Eqt Index ETF
FLX,Purpose Glbl Flexible Credit Fnd ETF
FLX.U,Purpose Glbl Flexible Credit Fnd ETF USD
FM,First Quantum Minerals Ltd
FN,First National Financial Corp
FN.PR.A,First National Financial Corp Pref A
FN.PR.B,First National Financial Corp Pref B
FNV,Franco-Nevada Corp
FOM,Foran Mining Corp
FOOD,Goodfood Market Corp
FOOD.DB,Goodfood Market Corp 5.75 Pct Debs
FOOD.DB.A,Goodfood Market Corp. 5.75%
FORA,Verticalscope Holdings Inc
FORZ,Forza Petroleum Ltd
FOUR,Horizons Industry 4.0 Index ETF
FPR,CI Preferred Share ETF
FQC,CI MSCI Can Quality Index Class ETF
FR,First Majestic Silver Corp Common
FRU,Freehold Royalties Ltd
FRX,Fennec Pharmaceuticals Inc
FSB,CI Enhanced Sh Dur Bond Fund
FSB.U,CI Enhanced Sh Dur Bond Fund USD
FSF,CI Global Financial Sector ETF
FSL,First Trust Senior Loan ETF
FST,First Trust CDN Capital Strength ETF
FSV,Firstservice Corp
FSY,Forsys Metals Corp
FSZ,Fiera Capital Corp
FSZ.DB.B,Fiera Capital Corporation 8.25 Pct Debs
FT,Fortune Mnrl J
FTG,Firan Technology Group Corp
FTN,Financial 15 Split Corp
FTN.PR.A,Financial 15 Split Corp
FTS,Fortis Inc
FTS.PR.F,Fortis Inc Pref Shares Series F
FTS.PR.G,Fortis Inc First Pref Ser G
FTS.PR.H,Fortis Inc Pref Ser H
FTS.PR.I,Fortis Inc Pref Ser I
FTS.PR.J,Fortis Inc Pref Ser J
FTS.PR.K,Fortis Inc Pref Ser K
FTS.PR.M,Fortis Inc Pref Ser M
FTT,Finning Intl
FTU,US Financial 15 Split Corp
FTU.PR.B,US Finl 15 Split 2012 Pref Sh
FUD,First Trust Alphadex US Div ETF CAD Hdg
FURY,Fury Gold Mines Ltd
FVI,Fortuna Silver Mines Inc
FVI.DB.U,Fortuna Silver Mines Inc 4.65 Pct Debs
FVL,Freegold Ventures Ltd
FWCP,Franklin Western Asset Core Bnd Actv ETF
FXM,CI Morningstar Cda Value Idx ETF
G,Augusta Gold Corp
GATO,Gatos Silver Inc
GAU,Galiano Gold Inc
GBAL,Ishares ESG Balanced ETF
GBAR,Monarch Mining Corp
GBT,Bmtc Group Inc
GCBD,Guardian Canadian Bond ETF
GCG,Guardian Capital
GCG.A,Guardian Capital Group Ltd Cl A NV
GCL,Colabor Group Inc
GCNS,Ishares ESG Conservative Balanced ETF
GCSC,Guardian Canadian Sector Controlled Equi
GCTB,Guardian Ultra-Short Canadian T-Bill Fund
GDC,Genesis Land J
GDEP,Guardian Directed Equity Path ETF
GDI,Gdi Integrated Facility Services Inc
GDL,Goodfellow Inc
GDPY,Guardian Directed Premium Yield ETF
GDPY.B,Guardian Directed Premium Yield ETF Uh
GDV,Global Dividend Growth Split Corp
GDV.PR.A,Global Dividend Growth Split Corp Pref A
GEC,Global Education Communities Corp
GEI,Gibson Energy Inc
GENM,Generation Mining Ltd
GEO,Geodrill Ltd
GEQT,Ishares ESG Equity ETF
GFL,Gfl Environmental Inc
GFP,Greenfirst Forest Products Inc
GGA,Goldgroup Mining Inc
GGAC,Guardian Fundmntl All Country Equity ETF
GGD,Gogold Resources Inc
GGEM,Guardian Fundmntl Emrgng Mkts Equity ETF
GGRO,Ishares ESG Growth ETF
GH,Gamehost Inc
GIB.A,CGI Group Inc Cl A Sv
GIGR,Guardian I3 Global REIT Hedg ETF
GIGR.B,Guardian I3 Global REIT Unhedg ETF
GIL,Gildan Activewear Inc
GIQG,Guardian I3 Global Quality Growth ETF
GIQG.B,Guardian I3 Global Quality Growth ETF
GIQU,Guardian I3 US Quality Growth Hedg ETF
GIQU.B,Guardian I3 US Quality Growth Unhedg ETF
GIVX,Givex Information Technology Group Ltd
GLCC,Horizons Gold Prod Eqty Cvrd Call ETF
GLG,Glg Life Tech Corp
GLO,Global Atomic Corp
GLXY,Galaxy Digital Holdings Ltd
GMTN,Gold Mountain Mining Corp
GMX,Globex Mining Enterprises Inc
GOLD,Goldmining Inc
GOOS,Canada Goose Holdings Inc
GRA,Nanoxplore Inc
GRC,Gold Springs Resource Corp
GRCC,Horizons Growth Asset Allocation Covered Call Et
GRID,Tantalus Systems Holding Inc
GRN,Greenlane Renewables Inc
GRNI,BMO Brookfield Gbl Rnwbls Infra Fund ETF
GRT.UN,Granite Real Estate Investment Trust
GSY,Goeasy Ltd
GTE,Gran Tierra Energy Inc
GUD,Knight Therapeutics Inc
GURU,Guru Organic Energy Corp
GUTB.U,Guardian Ultra-Short U.S. T-Bill Fund
GVC,Glacier Media Inc
GWO,Great-West Lifeco Inc
GWO.PR.G,Great-West Lifeco Inc Pr. G
GWO.PR.H,Great-West Lifeco Inc 4.85 % Pr.Ser H
GWO.PR.I,Great-West Lifeco Inc Prf Series I
GWO.PR.L,Great-West Lifeco Inc Pref Ser L
GWO.PR.M,Great West Lifeco Pref Ser M
GWO.PR.N,Great West Lifeco Inc Pref Srs N
GWO.PR.P,Great West Lifeco Inc 5.4 Pct Pref Sh
GWO.PR.Q,Great West Lifeco Pref Ser Q
GWO.PR.R,Great West Lifeco Inc Ser R
GWO.PR.S,Great West Lifeco Pref Ser S
GWO.PR.T,Great West Lifeco Pref Ser T
GWO.PR.Y,Great-West Lifeco Inc.
GXE,Gear Energy Ltd
H,Hydro One Ltd
HAB,Horizons Active Corporate Bond ETF
HAC,Horizons Seasonal Rotation ETF
HAD,Horizons Active CDN Bond ETF
HAF,Horizons Active Global Fixed Income ETF
HAI,Haivision Systems Inc
HAL,Horizons Active CDN Dividend ETF
HARB,Horizons Tactical Absolute Rtrn Bnd ETF
HARB.J,Horizons Tactical Abslt Rtn Bnd Div ETF
HARB.U,Horizons Tctl Absolute Rtrn Bnd ETF USD
HARC,Horizons Abs Return Global Currency ETF
HAZ,Horizons Active Global Dividend ETF
HBA,Hamilton Australian Banks Equal-Weight ETF
HBAL,Horizons Balanced Tri ETF
HBB,Horizons CDN Select Universe Bond ETF
HBD,Betapro Gold Bullion 2X Daily Bear ETF
HBF,Harvest Brand Leaders Plus Income ETF
HBF.B,Harvest Brand Leaders Plus Inc ETF Unh
HBF.U,Harvest Brand Leaders Plus Income ETF USD
HBFE,Harvest Brand Leaders Enh Income ETF
HBGD,Horizons Big Data Hardware Idx ETF
HBGD.U,Horizons Big Data Hardware Idx ETF USD
HBKD,Betapro Eql Weight Cnd Bank 2X Bear ETF
HBKU,Betapro Eql Weight Cnd Bank 2X Bull ETF
HBLK,Blockchain Technologies ETF
HBM,Hudbay Minerals Inc
HBND,Hamilton U.S. Bond Yield Maximizer ETF
HBNK,Horizons Equal Weight Banks Index ETF
HBP,Helix Biopharm
HBU,Betapro Gold Bullion 2X Daily Bull ETF
HBUG,Horizons Gx Cybersecurity Index ETF Clas
HCA,Hamilton Canadian Bank Mean Reversion ETF
HCAL,Hamilton Canadian Bank ETF
HCLN,Harvest Clean Energy ETF
HCON,Horizons Conservative Tri ETF
HCRE,Horizons Eql Wght Can REIT Index ETF
HDGE,Accelerate Absolute Return Hdg Fund ETF
HDIF,Harvest Diversified Monthly Income ETF
HDIV,Hamilton Enhanced Multi-Sector Covered Call ETF
HEB,Hamilton CDN Bank Equal Weight Idx ETF
HED,Betapro S&P TSX Cap Engy 2X Dly Bear ETF
HEO,H2O Innovation Inc
HEQL,Horizons Enhanced All-Equity Asset Allocation Et
HEQT,Horizons All-Equity Asset Allocation ETF
HERO,Evolve E Gaming Index ETF
HEU,Betapro S&P TSX Cap Engy 2X Dly Bull ETF
HEWB,Horizons Eql Wght Can Banks Index ETF
HEXO.WT.A,Hexo Corp. WT
HFD,Betapro S&P TSX Cap Fncl 2X Dly Bear ETF
HFG,Hamilton Global Financials ETF
HFIN,Hamilton Enhanced Canadian Financials Et
HFPC.U,Helios Fairfax Partners Corp
HFR,Horizons Active Floating Rate Bond ETF
HFT,Hamilton Financials Innovation ETF
HFU,Betapro S&P TSX Cap Fncl 2X Dly Bull ETF
HGD,Betapro CDN Gold Miners 2X Dly Bear ETF
HGGB,Horizons SP Green Bond Index ETF
HGGG,Harvest Global Gold Giants Index ETF
HGR,Harvest Global REIT Leaders Income ETF
HGRW,Horizons Growth Asset Allocation ETF
HGU,Betapro CDN Gold Miners 2X Dly Bull ETF
HGY,Horizons Gold Yield ETF
HHL,Harvest Healthcare Leaders Income ETF
HHL.B,Harvest Healthcare Leaders Inc ETF Unh
HHL.U,Harvest Healthcare Leaders Income ETF USD
HHLE,Harvest Healthcare Ldrs Enh Income ETF
HHRS,Hammerhead Energy Inc.
HIG,Brompton Global Healthcare Inc & Gth ETF
HISU.U,US High Interest Savings Account Fnd ETF
HIU,Betapro Sp500 Daily Inverse ETF
HIX,Betapro S&P TSX 60 Daily Inverse ETF
HLF,High Liner
HLFE,Harvest Canadian Equity Enh Inc Ldrs ETF
HLIF,Harvest Canadian Equity Income Leaders E
HLIT,Horizons Global Lithium Producer Idx ETF
HLPR,Horizons Laddered CDN Pref Index ETF
HLS,Hls Therapeutics Inc
HMAX,Hamilton CDN Financial Yld Maximizer ETF
HMJI,Betapro Marijuana Cos Inverse ETF
HMJU,Betapro Marijuana Cos 2X Daily Bull ETF
HMM.A,Hammond Manufacturing Co. Ltd Cl A. Sv
HMMJ,Horizons Marijuana Life Sciences ETF
HMMJ.U,Horizons Marijuana Life Sciences Idx USD
HMP,Horizons Active CDN Municipal Bond ETF
HND,Betapro Nat Gas 2X Daily Bear ETF
HNU,Betapro Nat Gas 2X Daily Bull ETF
HOD,Betapro Crude Oil 2X Daily Bear ETF
HOG,Horizons CDN Midstream Oil Gas ETF
HOM.DB.U,Bsr REIT 5.0 Pct Debs USD
HOM.U,Bsr Real Estate Investment Trust
HOM.UN,Bsr Real Estate Investment Trust
HOT.DB.V,American Hotel Income Prp REIT 6 Pct Deb
HOT.U,American Hotel Income Properties REIT US
HOT.UN,American Hotel Income Properties REIT LP
HOU,Betapro Crude Oil 2X Daily Bull ETF
HPF,Harvest Energy Leaders Plus Income ETF
HPF.U,Harvest Energy Leaders Plus Income ETF USD
HPR,Horizons Active Pref Share ETF
HPS.A,Hammond Power Solutions Inc Cl A. Sv
HPYT,Harvest Premium Yield Treasury ETF
HQD,Betapro Nasdaq 100 2X Daily Bear ETF
HQD.U,Betapro Nasdaq 100 2X Daily Bear ETF USD
HQU,Betapro Nasdaq 100 2X Daily Bull ETF
HR.UN,H&R Real Estate Inv Trust
HRAA,Horizons Resolve Adptv Asset Alloc ETF
HRED,Betapro Eql Wgt CDN REIT 2X Dly Bear ETF
HREU,Betapro Eql Wgt CDN REIT 2X Dly Bull ETF
HRIF,Harvest Diversified Equity Income ETF
HRR.UN,Australian REIT Income Fund
HRX,Heroux-Devtek
HSAV,Horizons Cash Maximizer ETF
HSD,Betapro Sp500 2X Daily Bear ETF
HSH,Horizons Sp500 CAD Hedged Index ETF
HSL,Horizons Active Float Rate Sen Loan ETF
HSU,Betapro Sp500 2X Daily Bull ETF
HSUV.U,Horizons USD Cash Maximizer ETF USD
HTA,Harvest Tech Achievers Growth & Income ETF
HTA.B,Harvest Tech Achievers Grwth Inc ETF Unh
HTA.U,Harvest Tech Achievers Growth & Income ETF USD
HTAE,Harvest Tech Achievers Enh Inc ETF
HTB,Horizons US 7 To 10 Yr Treasury Bond ETF
HTB.U,Horizons US 7 To 10 Yr Treas Bd ETF USD
HTL,Hamilton Thorne Ltd
HUBL,Harvest US Bank Leaders Income ETF
HUBL.U,Harvest US Bank Leaders Income ETF USD
HUC,Horizons Crude Oil ETF
HUF,Horizons Active US Float Rate Bd ETF CAD
HUF.U,Horizons Active US Floating Rate Bd ETF
HUG,Horizons Gold ETF
HULC,Horizons US Large Cap Index ETF
HULC.U,Horizons US Large Cap Index ETF USD
HUM,Hamilton U.S. Mid/Small-Cap Financials E
HUM.U,Hamilton US Mid Small Cap Fincls ETF USD
HUN,Horizons Natural Gas ETF
HURA,Horizons Global Uranium Index ETF
HUT,Hut 8 Mining Corp
HUTE,Harvest Eql Weight Glb Util Enh Inc ETF
HUTL,Harvest Eql Wght Glb Util Income ETF
HUTS,Hamilton Enhanced Utilities ETF
HUV,Betapro Sp500 VIX ST Ftrs ETF
HUZ,Horizons Silver ETF
HWO,High Arctic Energy Services Inc
HWX,Headwater Exploration Inc
HXCN,Horizons SP TSX Capped Comp Index ETF
HXD,Betapro S&P TSX 60 2X Daily Bear ETF
HXDM,Horizons Intl Dev Mkts Equity Index ETF
HXDM.U,Horizons Intl Dev Mkts Eqty Idx USD ETF
HXE,Horizons S&P TSX Capped Energy Index ETF
HXEM,Horizons Emerging Mkts Equity Index ETF
HXF,Horizons S&P TSX Capped Fncl Index ETF
HXH,Horizons CDN High Dividend Index ETF
HXQ,Horizons Nasdaq 100 Index ETF
HXQ.U,Horizons Nasdaq 100 Index ETF USD
HXS,Horizons S&P 500 Index ETF
HXS.U,Horizons S&P 500 Index ETF USD
HXT,Horizons S&P Tsx60 Index ETF
HXT.U,Horizons S&P TSX 60 Index ETF USD
HXU,Betapro S&P TSX 60 2X Daily Bull ETF
HXX,Horizons Euro Stoxx 50 Index ETF
HYBR,Horizons Active Hybrd Bond Prf Share ETF
HYDR,Horizons Global Hydrogen Index ETF
HYI,Horizons Active High Yield Bond ETF
HYLD,Hamilton Enhanced U.S. Covered Call ETF
HYLD.U,Hamilton Enhanced US Coverd Call ETF USD
HZD,Betapro Silver 2X Daily Bear ETF
HZM,Horizonte Minerals Plc
HZU,Betapro Silver 2X Daily Bull ETF
IAF.PR.B,Industrial Alliance Cl A Pref Ser B
IAG,IA Financial Corp Inc
IAU,I-80 Gold Corp
IBG.DB.E,Ibi Group Inc 6.50% Listed Senior
ICAE,Invesco TSX Canadian Dividend Aristocrats ESG IN
ICE,Canlan ICE Sports Corp
ICPB,IA Clarington Core Plus Bond Fund
IDEF.B,Manulife Smart Interntl Defensive Eq ETF
IDG,Indigo Books & Music Inc
IDIV.B,Manulife Smart International Div ETF
IE,Ivanhoe Electric Inc
IFA,Ifabric Corp
IFC,Intact Financial Corp
IFC.PR.A,Intact Financial Corp Pref Cl A
IFC.PR.C,Intact Financial Corp Pref Cl A
IFC.PR.E,Intact Financial Corp Pref Cl A Ser 5
IFC.PR.F,Intact Financial Corp Pref Shares Ser 6
IFC.PR.G,Intact Financial Corp Pref Shares Ser 7
IFC.PR.I,Intact Financial Corp Pref Shares Ser 9
IFC.PR.K,Intact Financial Corp
IFP,Interfor Corp
IFRF,IA Clarington Floating Rate Income ETF
IGAF,IA Clarington Global Allocation Fund ETF
IGB,Purpose Mngd Duration Invest Bond ETF
IGCF,Pimco Investment Grade Credit Fund
IGM,Igm Financial Inc
IGX,Intelgenx Technologies Corp
